epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2060.34,0.46438,1.861,0.86083,0.98075,0.97212,0.99068,0.93243,0.33798,1.14026,0.8062,0.000368527,0.000368527,0.000368527
2,4286,0.42592,0.86524,0.85038,0.97325,0.96799,0.99331,0.95515,0.28934,0.75412,0.80321,0.000724231,0.000724231,0.000724231
3,6304.47,0.407,0.6176,0.84933,0.99184,0.97696,0.9945,0.95886,0.28634,0.47614,0.79987,0.00106527,0.00106527,0.00106527
4,8333.38,0.38909,0.47295,0.84585,0.99238,0.99489,0.99495,0.98078,0.24022,0.34954,0.79227,0.00104501,0.00104501,0.00104501
5,10335.2,0.36784,0.38654,0.8376,0.99412,0.99323,0.99495,0.97683,0.23878,0.28699,0.78472,0.00102301,0.00102301,0.00102301
6,12329,0.34007,0.35286,0.83864,0.98183,0.98925,0.99233,0.97369,0.22298,0.28563,0.78336,0.00100101,0.00100101,0.00100101
7,14320.2,0.34449,0.33857,0.83871,0.98921,0.99067,0.98524,0.9751,0.20887,0.25189,0.7828,0.000979013,0.000979013,0.000979013
8,16318.9,0.3185,0.3163,0.82871,0.99066,0.99842,0.99264,0.9837,0.20341,0.21511,0.77642,0.000957015,0.000957015,0.000957015
9,18325.3,0.31502,0.29354,0.83208,0.99651,0.99739,0.995,0.98769,0.21289,0.20336,0.77939,0.000935018,0.000935018,0.000935018
10,36970.2,0.30012,0.27306,0.82567,0.9991,1,0.995,0.98768,0.1875,0.17191,0.77084,0.00091302,0.00091302,0.00091302
11,38971.7,0.30102,0.2694,0.82787,0.99455,0.99523,0.99472,0.983,0.19139,0.18646,0.77397,0.000891022,0.000891022,0.000891022
12,41009.1,0.29836,0.26937,0.82841,0.99533,1,0.99496,0.98667,0.18616,0.1875,0.77454,0.000869024,0.000869024,0.000869024
13,43077,0.28255,0.25003,0.82268,0.99927,0.99895,0.995,0.98643,0.17548,0.16782,0.7847,0.000847026,0.000847026,0.000847026
14,45160,0.28686,0.25043,0.8238,0.99684,0.99941,0.995,0.98762,0.18721,0.16799,0.77484,0.000825029,0.000825029,0.000825029
15,47395.8,0.26851,0.23287,0.8221,0.9992,1,0.995,0.98993,0.16888,0.15407,0.76825,0.000803031,0.000803031,0.000803031
16,49588.7,0.2726,0.23939,0.81756,0.99935,0.9997,0.995,0.99036,0.16272,0.15034,0.7708,0.000781033,0.000781033,0.000781033
17,51682.6,0.26293,0.228,0.82113,0.99842,0.99973,0.995,0.9911,0.15505,0.13732,0.76776,0.000759035,0.000759035,0.000759035
18,53953.3,0.26601,0.221,0.81734,0.99935,1,0.995,0.9901,0.15607,0.14061,0.76621,0.000737037,0.000737037,0.000737037
19,56193.1,0.25683,0.21768,0.81453,0.99949,1,0.995,0.99017,0.16773,0.15068,0.76869,0.00071504,0.00071504,0.00071504
20,58529,0.2454,0.21397,0.81724,0.99815,1,0.995,0.99314,0.14254,0.13009,0.76386,0.000693042,0.000693042,0.000693042
21,60619.5,0.24532,0.21081,0.81705,0.99803,1,0.995,0.99204,0.16033,0.13686,0.76791,0.000671044,0.000671044,0.000671044
22,62717.1,0.24482,0.20681,0.82208,0.99938,1,0.995,0.99194,0.14609,0.12956,0.76458,0.000649046,0.000649046,0.000649046
23,64817.9,0.2419,0.20345,0.81501,0.99801,0.9986,0.995,0.99212,0.15119,0.12821,0.76524,0.000627048,0.000627048,0.000627048
24,66925.5,0.24394,0.19832,0.8141,0.99947,1,0.995,0.99165,0.14372,0.12485,0.7636,0.000605051,0.000605051,0.000605051
25,69024.9,0.23762,0.19902,0.81597,0.99959,1,0.995,0.99066,0.13902,0.119,0.76581,0.000583053,0.000583053,0.000583053
26,71047.6,0.23205,0.19153,0.81396,0.99927,1,0.995,0.99295,0.13021,0.11208,0.76111,0.000561055,0.000561055,0.000561055
27,73046.1,0.23025,0.18954,0.81537,0.99961,0.99903,0.995,0.99347,0.13394,0.11783,0.76215,0.000539057,0.000539057,0.000539057
28,75047.2,0.22136,0.18405,0.80928,0.99967,1,0.995,0.99348,0.12676,0.10535,0.76094,0.000517059,0.000517059,0.000517059
29,77047.9,0.22092,0.17844,0.81076,0.99967,1,0.995,0.99441,0.12395,0.10476,0.75982,0.000495062,0.000495062,0.000495062
30,79041.6,0.21634,0.18183,0.80807,0.99968,1,0.995,0.99359,0.12454,0.10814,0.76181,0.000473064,0.000473064,0.000473064
31,81165.5,0.21721,0.17859,0.81307,0.9997,1,0.995,0.99425,0.12216,0.10108,0.75883,0.000451066,0.000451066,0.000451066
32,84271.6,0.20939,0.16743,0.80557,0.99965,1,0.995,0.99441,0.1186,0.10381,0.75983,0.000429068,0.000429068,0.000429068
33,86795.1,0.20698,0.16914,0.80836,0.9997,1,0.995,0.9938,0.11952,0.09863,0.76082,0.00040707,0.00040707,0.00040707
34,89122.3,0.20791,0.16692,0.81097,0.99955,1,0.995,0.99438,0.11964,0.10434,0.76064,0.000385073,0.000385073,0.000385073
35,91216.1,0.2098,0.17132,0.80909,0.99969,1,0.995,0.99414,0.1126,0.09609,0.75942,0.000363075,0.000363075,0.000363075
36,93279.7,0.19509,0.15728,0.80298,0.99965,1,0.995,0.99406,0.11374,0.09161,0.75898,0.000341077,0.000341077,0.000341077
37,95307.9,0.19628,0.15813,0.8055,0.99969,1,0.995,0.99441,0.11586,0.09665,0.75901,0.000319079,0.000319079,0.000319079
38,97315.3,0.19412,0.15495,0.80867,0.9993,0.99936,0.995,0.99396,0.10915,0.08956,0.75781,0.000297081,0.000297081,0.000297081
39,99339.4,0.19446,0.15048,0.80784,0.99971,1,0.995,0.99414,0.10566,0.08758,0.75557,0.000275084,0.000275084,0.000275084
40,101346,0.18699,0.14797,0.80656,0.99972,1,0.995,0.99414,0.10508,0.08608,0.75652,0.000253086,0.000253086,0.000253086
41,103341,0.15017,0.1276,0.77717,0.99962,1,0.995,0.9946,0.10752,0.09652,0.75687,0.000231088,0.000231088,0.000231088
42,105333,0.14828,0.1255,0.77924,0.99967,1,0.995,0.99477,0.10876,0.09109,0.75759,0.00020909,0.00020909,0.00020909
43,107316,0.14285,0.11864,0.78394,0.99965,1,0.995,0.99461,0.10734,0.0874,0.75634,0.000187092,0.000187092,0.000187092
44,109306,0.14068,0.1164,0.77674,0.9997,1,0.995,0.99423,0.10962,0.08901,0.75644,0.000165095,0.000165095,0.000165095
45,111308,0.13747,0.11145,0.77444,0.99971,1,0.995,0.9947,0.10426,0.08449,0.75613,0.000143097,0.000143097,0.000143097
46,113303,0.13407,0.10797,0.77929,0.99972,1,0.995,0.99454,0.09889,0.0809,0.75461,0.000121099,0.000121099,0.000121099
47,115291,0.12991,0.10501,0.7747,0.99974,1,0.995,0.99462,0.09741,0.07828,0.75433,9.91012e-05,9.91012e-05,9.91012e-05
48,117282,0.12304,0.1,0.76951,0.99974,1,0.995,0.99491,0.09586,0.07581,0.75368,7.71034e-05,7.71034e-05,7.71034e-05
49,119267,0.12333,0.09841,0.77362,0.99972,1,0.995,0.99482,0.09206,0.0733,0.75298,5.51056e-05,5.51056e-05,5.51056e-05
50,121250,0.11975,0.09542,0.77297,0.99973,1,0.995,0.99486,0.09246,0.07209,0.75326,3.31078e-05,3.31078e-05,3.31078e-05
